"id","cluster","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
1,"a",-3,3,4,-2,0,NA,NA,NA,NA,NA,NA,NA
1,"b",-3,-4,-1,-1,0,NA,NA,NA,NA,NA,NA,NA
1,"c",4,5,-2,5,0,NA,NA,NA,NA,NA,NA,NA
2,"a",0,-6,-6,0,-4,-2,0,NA,NA,NA,NA,NA
2,"b",-3,-1,-8,2,6,-6,0,NA,NA,NA,NA,NA
2,"c",9,6,-5,8,4,8,0,NA,NA,NA,NA,NA
2,"d",0,-5,-8,8,6,-7,0,NA,NA,NA,NA,NA
3,"a",0,0,-7,0,0,-1,7,-7,NA,NA,NA,NA
3,"b",-6,0,8,0,0,9,-6,7,NA,NA,NA,NA
3,"c",4,0,3,0,0,7,4,-2,NA,NA,NA,NA
3,"d",-9,0,4,0,0,-3,9,-9,NA,NA,NA,NA
4,"a",0,3,-2,0,2,NA,NA,NA,NA,NA,NA,NA
4,"b",0,0,-2,3,-3,NA,NA,NA,NA,NA,NA,NA
4,"c",0,3,4,-2,5,NA,NA,NA,NA,NA,NA,NA
5,"a",2,8,0,1,0,-5,3,NA,NA,NA,NA,NA
5,"b",0,-9,-4,2,0,-9,3,NA,NA,NA,NA,NA
5,"c",-2,3,2,-8,0,8,1,NA,NA,NA,NA,NA
5,"d",6,-2,9,-1,0,-2,-1,NA,NA,NA,NA,NA
6,"a",-1,9,0,5,0,6,0,2,NA,NA,NA,NA
6,"b",2,4,0,9,0,-4,0,4,NA,NA,NA,NA
6,"c",0,0,0,0,0,-2,0,-5,NA,NA,NA,NA
6,"d",7,-3,0,8,0,5,0,3,NA,NA,NA,NA
7,"a",0,0,2,-2,-1,NA,NA,NA,NA,NA,NA,NA
7,"b",0,4,4,5,2,NA,NA,NA,NA,NA,NA,NA
7,"c",0,-4,4,-5,-3,NA,NA,NA,NA,NA,NA,NA
8,"a",1,1,0,-2,9,-2,1,NA,NA,NA,NA,NA
8,"b",-3,-1,0,-7,-2,-2,-8,NA,NA,NA,NA,NA
8,"c",-6,2,0,1,4,6,-8,NA,NA,NA,NA,NA
8,"d",8,-5,0,-1,-3,6,-3,NA,NA,NA,NA,NA
9,"a",9,-2,0,-9,0,-6,-4,0,NA,NA,NA,NA
9,"b",-7,-3,0,-3,0,-1,5,0,NA,NA,NA,NA
9,"c",8,3,0,7,0,6,6,0,NA,NA,NA,NA
9,"d",2,-5,0,-8,0,7,-6,0,NA,NA,NA,NA
10,"a",3,-4,-2,3,0,NA,NA,NA,NA,NA,NA,NA
10,"b",5,-4,1,0,0,NA,NA,NA,NA,NA,NA,NA
10,"c",0,-3,4,0,0,NA,NA,NA,NA,NA,NA,NA
11,"a",-6,6,-1,3,7,-9,0,NA,NA,NA,NA,NA
11,"b",1,6,3,-5,9,3,0,NA,NA,NA,NA,NA
11,"c",1,-3,-3,0,2,-1,0,NA,NA,NA,NA,NA
11,"d",-4,6,-1,-5,-5,9,0,NA,NA,NA,NA,NA
12,"a",0,0,6,-6,3,7,0,8,NA,NA,NA,NA
12,"b",0,0,1,0,2,6,0,-4,NA,NA,NA,NA
12,"c",0,0,-8,8,-7,6,0,3,NA,NA,NA,NA
12,"d",0,0,3,-7,-1,1,0,7,NA,NA,NA,NA
13,"a",-5,0,3,1,-5,NA,NA,NA,NA,NA,NA,NA
13,"b",2,0,-4,1,-1,NA,NA,NA,NA,NA,NA,NA
13,"c",-4,0,2,2,-3,NA,NA,NA,NA,NA,NA,NA
14,"a",-3,4,-4,5,-3,-3,0,NA,NA,NA,NA,NA
14,"b",7,-1,0,3,-2,2,0,NA,NA,NA,NA,NA
14,"c",-6,4,7,3,7,1,0,NA,NA,NA,NA,NA
14,"d",0,0,5,9,-6,-7,0,NA,NA,NA,NA,NA
15,"a",0,3,-2,-6,-5,0,-8,0,NA,NA,NA,NA
15,"b",0,7,-2,8,-6,0,-7,0,NA,NA,NA,NA
15,"c",0,9,2,-1,2,0,4,0,NA,NA,NA,NA
15,"d",0,-3,-5,-4,4,0,-6,0,NA,NA,NA,NA
16,"a",0,1,-3,3,5,NA,NA,NA,NA,NA,NA,NA
16,"b",0,-3,1,3,0,NA,NA,NA,NA,NA,NA,NA
16,"c",0,-5,3,0,-3,NA,NA,NA,NA,NA,NA,NA
17,"a",7,5,7,5,7,0,2,NA,NA,NA,NA,NA
17,"b",-9,9,3,-3,7,0,-8,NA,NA,NA,NA,NA
17,"c",-3,-6,-4,8,2,0,4,NA,NA,NA,NA,NA
17,"d",-3,4,-1,0,-8,0,-8,NA,NA,NA,NA,NA
18,"a",-6,0,7,0,0,0,9,0,NA,NA,NA,NA
18,"b",9,0,-2,0,-6,-5,8,0,NA,NA,NA,NA
18,"c",0,0,7,0,-5,-7,2,0,NA,NA,NA,NA
18,"d",-2,0,1,0,-6,1,-2,0,NA,NA,NA,NA
